"","Names","Hometowns"
"1","Jenna Clark","Pittsburgh, Pa."
"2","Camilla Emsbo","Lakewood, Colo."
"3","Megan Gorman","Vero Beach, Fla."
"4","Mackenzie Hewitt","Prosper, Texas"
"5","Klara Astrom","Menlo Park, Calif."
"6","Robin Gallagher","Cary, N.C."
"7","Alex Cade","Shaker Heights, Ohio"
"8","Roxy Barahman","Calabasas, Calif."
"9","Tori Andrew","St. Louis, Mo."
"10","Ellen Margaret Andrews","Dallas, Texas"
"11","Erin Hill","Edgartown, Mass."
"12","Roxanne Nesbitt","Chicago, Ill."
"13","Ayla Elam","Woodside, Calif."
"14","Jessica Lezon","North Reading, Mass."
"15","",""
"16","",""
"17","Jalen Gabbidon","Harrisburg, Pa."
"18","Eze Dike","Montreal, Quebec"
"19","Eric Monroe","San Diego, Calif."
"20","August Mahoney","Saratoga Springs, N.Y."
"21","Azar Swain","Brockton, Mass."
"22","Matthue Cotton","Voorhees, N.J."
"23","Michael Feinberg","Hidden Hills, Calif."
"24","Jameel Alausa","Chicago, Ill."
"25","EJ Jarvis","Washington, DC"
"26","Paul Atkinson","West Palm Beach, Fla."
"27","Austin Williams","Jacksonville, Fla."
"28","Jordan Bruner","Columbia, S.C."
"29","Jake Lanford","Charleston, S.C."
"30","Wyatt Yess","Saint Louis, Mo."
"31","Isaiah Kelly","Augusta, Ga."
"32","",""
"33","",""
