"","Names","Hometowns"
"1","Noah Aaron","Winston-Salem, N.C."
"2","Brian Abraham","Brockton, Mass."
"3","Spencer Alston","Reston, Va."
"4","Micah Awodiran","Chicago, Ill."
"5","Brandon Babcock","Gilbert, Ariz."
"6","Jermaine Baker","Westchester, Ill."
"7","Brandon Benn","Atlanta, Ga."
"8","Jack Biestek","Durham, N.C."
"9","Jack Bosman","San Diego, Calif."
"10","Sebastian Bruno","Delray Beach, Fla."
"11","Brayden Carey","Newnan, Ga."
"12","Jordan Carey","Florissant, Mo."
"13","Darrion Carrington","Lakewood, N.J."
"14","Dante Chiappetta","North Haven, Conn."
"15","Michael Connor","Oakland, N.J."
"16","Patrick Conte","Newtown, Conn."
"17","Ajay Culhane","Westlake Village, Calif."
"18","Josh De St. Jean","South Bend, Ind."
"19","John Dean","Wrentham, Mass."
"20","Tyler Di Ienno","North Haledon, N.J."
"21","Zane Dudek","Kittanning, Pa."
"22","Jonathon Durand","Gilbert, Ariz."
"23","Josh Eboboko","Charlotte, N.C."
"24","Kyle Ellis","Cumming, Ga."
"25","Joey Felton","Frederick, Md."
"26","Shane Frommer","Norfolk, Mass."
"27","Nick Gargiulo","Yorktown Heights, N.Y."
"28","Brett Gerber","Bradenton, Fla."
"29","Tate Goodyear","Cincinnati, Ohio"
"30","Jaylan Granberry","Nashville, Tenn."
"31","Nolan Grooms","Lake Wylie, S.C."
"32","Jackson Hawes","Salt Lake City, Utah"
"33","Jailon Henry","Tallahassee, Fla."
"34","Deonte Henson","Beaumont, Texas"
"35","Dathan Hickey","Bristol, Conn."
"36","Blake Hill","Milford, Mass."
"37","Sasha Hoban","Newton, Mass."
"38","Du'Shaunte Holloway","Villa Rica, Ga."
"39","JJ Howland","Fiskdale, Mass."
"40","Osorachukwu Ifesinachukwu","Austin, Texas"
"41","Trenton Johnson","Oakland, Calif."
"42","Tyler Jost","Libertyville, Ill."
"43","Kennedy Kosmalski","McHenry, Ill."
"44","Alan Lamar","Olive Branch, Miss."
"45","Aidan Maloney","Hillsboro, Ore."
"46","Marcus Mauney","Gastonia, N.C."
"47","Ryan McCann","Rumson, N.J."
"48","Elliott McElwain","Trussville, Ala."
"49","Joshua McKenzie","Wall, N.J."
"50","Jonathan Mendoza","Westhampton Beach, N.Y."
"51","Isaac Mitchell","Salina, Kan."
"52","Hamilton Moore","Raleigh, N.C."
"53","Patrick Nauert","Grosse Pointe, Mich."
"54","Reid Nickerson","Friendswood, Texas"
"55","Griffin O'Connor","Huntington Beach, Calif."
"56","Miles Oldacre","Spring, Texas"
"57","Seun Omonije","The Colony, Texas"
"58","Wande Owens","Cooksville, Md."
"59","Clay Patterson","Frisco, Texas"
"60","Noah Pope","Memphis, Tenn."
"61","Adam Raine","Basingstoke, England"
"62","Garry Raymond","Colorado Springs, Colo."
"63","Darnell Robinson","West Palm Beach, Fla."
"64","D. Major Roman","New London, Conn."
"65","Melvin Rouse II","East Charlotte, N.C."
"66","Archie Russ III","Laurel, Md."
"67","AJ Ryan","Dover, Mass."
"68","Christian Sampleton","Plainfield, Ill."
"69","Jaylan Sandifer","Warner Robins, Ga."
"70","Cubby Schuller","Bedminster, N.J."
"71","Conor Smith","Little Silver, N.J."
"72","Rodney Thomas II","Pittsburgh, Pa."
"73","Nick Tibbetts","Uncasville, Conn."
"74","Mason Tipton","Akron, Ohio"
"75","Jack Twyford","Winter Haven, Fla."
"76","Joseph Vaughn","San Jose, Calif."
"77","Cameron Warfield","Washington, District of Columbia"
"78","",NA
"79","",NA
