"","Names","Hometowns"
"1","Kathryn Attar","Tampa, Fla."
"2","Izzy Simqu","Westlake Village, Calif."
"3","Tiffany Pedersen-Henry","Murrieta, Calif."
"4","Zoie Stewart","Chatsworth, Calif."
"5","Amelia Browne","Los Gatos, Calif."
"6","Lauren Potter","Miami, Fla."
"7","Ashley Dreyer","San Mateo, Calif."
"8","McKenzie Cooke","Mill Valley, Calif."
"9","Maile Somera","Barrington, R.I."
"10","Bonnie Bostic","Carmel, Ind."
"11","Chiara Spain","San Diego, Calif."
"12","Rebekah Nemeth","Kingwood, Texas"
"13","Samantha Bray","Austin, Texas"
"14","Yurika Boyd","Los Angeles, Calif."
"15","Renee Shultz","Glenmoore, Pa."
"16","Tristin Kott","Winter Park, Fla."
"17","Frances Arnautou","San Francisco, Calif."
"18","Ellis DeJardin","San Gabriel, Calif."
"19","",""
"20","",""
