,Names,leave,Hometowns
0,Connor Hopkins,False,"Malden, Mass."
1,Eddie Massaro,True,"Purchase, NY"
2,Jack St. Ivany,False,"Manhattan Beach, Calif."
3,Michael  Young,False,"Medford, Mass."
4,Brian Matthews,False,"Marshfield, Mass."
5,Brandon Tabakin,False,"Woodbury, N.Y."
6,Ryan  Conroy,False,"Chestermere, Alta."
7,Henry  Wagner ,False,"St. Louis, Mo."
8,Reilly  Connors   ,False,"Madison, Conn."
9,Niklas   Allain,False,"North Branford, Conn."
10,Dante Palecco,False,"Whippany, N.J."
11,Ryan  Stevens,False,"Duxbury, Mass."
12,Kyle Johnson,False,"Port Moody, B.C."
13,Teddy  Wooding,False,"Wrentham, Mass."
14,Kevin O'Neil,False,"Latham, N.Y."
15,Justin Pearson,False,"Nashua, N.H."
16,Quinton Ong,False,"Saskatoon, Sask."
17,Curtis Hall,False,"Chagrin Falls, Ohio"
18,Tyler Welsh,False,"Whistler, B.C."
19,Hayden Rowan,False,"Pemberville, Ohio"
20,Cole Donhauser,False,"Buffalo, N.Y."
21,Graham Lillibridge,False,"Geneva, Ill."
22,Phil Kemp,False,"Greenwich, Conn."
23,Brett Jewell,False,"Vernon, B.C."
24,Ian   Carpentier,False,"Worcester, Mass."
25,Nicholas MacNab,False,"Indianapolis, Ind."
26,Nathan  Reid ,False,"Madison, Wis."
27,,False,
28,,False,
