,Names,leave,Hometowns
0,Jed  Burde,False,Philadelphia PA
1,Tyler Carney,True,"New Canaan, Conn."
2,Janson  Chu,False,"Hong Kong, HK"
3,Patrick Feeley,False,"Greenwich, Conn."
4,Max  Forster ,False,"Newcastle Upon Tyne, U.K."
5,Harrison Gill,True,"Darien, Conn."
6,Nikhil Ismail,False,"Toronto, Ont."
7,Eric Kim,True,"Phoenixville, Pa."
8,Brian  Leonard  ,False,"Harrison, N.Y."
9,Maxwell  Orr,False,"Haverford, Pa"
10,Nadav Raziel,False,"Hod Hasharon, Israel"
11,Jacob Jae-Jin Rhee,False,"Englewood Cliffs, N.J."
12,David  Tsai,False,"Natick, MA"
13,Samuel Turner,False,"Haverford, Pa."
14,Tiber Worth,True,"Brooklyn, NY"
15,Siow Yee  Xian,False,"Melaka, Malaysia"
16,,False,
17,,False,
