,full_name,leave,team,gender,year,hometown,outdated,dup_year_name
0,Noah Aaron,False,football,Men,2022.0,"Winston-Salem, N.C.",False,False
1,Brian Abraham,False,football,Men,2022.0,"Brockton, Mass.",False,False
2,Kiran Amegadjie,False,football,Men,2024.0,"Hinsdale, Ill.",False,False
3,Bennie Anderson,False,football,Men,2024.0,"University City, Mo.",False,False
4,Brandon Babcock,False,football,Men,2023.0,"Gilbert, Ariz.",False,False
5,Jermaine Baker,False,football,Men,2023.0,"Westchester, Ill.",False,False
6,Kade Barnes,False,football,Men,2024.0,"Houston, Texas",False,False
7,Ryan Belk,False,football,Men,2024.0,"Parkland, Fla.",False,False
8,Brayden Carey,True,football,Men,2024.0,"Newnan, Ga.",False,False
9,Darrion Carrington,False,football,Men,2021.0,"Lakewood, N.J.",False,False
10,Zion Dayne,False,football,Men,2024.0,"Lorton, Va.",False,False
11,Zane Dudek,False,football,Men,2021.0,"Kittanning, Pa.",False,False
12,Teo Falk,False,football,Men,2024.0,"Stockholm, Sweden",False,False
13,Shamus Florio,False,football,Men,2024.0,"Andover, Mass.",False,False
14,Brett Gerber,False,football,Men,2022.0,"Bradenton, Fla.",False,False
15,Shaun Gold,False,football,Men,2024.0,"Mission Viejo, Calif.",False,False
16,Jaylan Granberry,False,football,Men,2022.0,"Nashville, Tenn.",False,False
17,Zack Haaland,False,football,Men,2024.0,"Wylie, Texas",False,False
18,Connor Halverson,False,football,Men,2024.0,"Austin, Texas",False,False
19,Jailon Henry,False,football,Men,2023.0,"Tallahassee, Fla.",False,False
20,Deonte Henson,False,football,Men,2021.0,"Beaumont, Texas",False,False
21,Blake Hill,False,football,Men,2021.0,"Milford, Mass.",False,False
22,Trenton Johnson,False,football,Men,2023.0,"Oakland, Calif.",False,False
23,Grant Jordan,False,football,Men,2024.0,"New Orleans, La.",False,False
24,Tyler Jost,False,football,Men,2021.0,"Libertyville, Ill.",False,False
25,Jack Karhu,False,football,Men,2024.0,"McKinney, Texas",False,False
26,Alan Lamar,True,football,Men,2021.0,"Olive Branch, Miss.",False,False
27,Ryan Lindley,False,football,Men,2024.0,"Austin, Texas",False,False
28,Ben Mann,False,football,Men,2024.0,"Lancaster, Pa.",False,False
29,Marcus Mauney,False,football,Men,2023.0,"Gastonia, N.C.",False,False
30,Elliott McElwain,False,football,Men,2022.0,"Trussville, Ala.",False,False
31,Joshua McKenzie,False,football,Men,2023.0,"Wall, N.J.",False,False
32,Isaac Mitchell,False,football,Men,2023.0,"Salina, Kan.",False,False
33,Hamilton Moore,False,football,Men,2023.0,"Raleigh, N.C.",False,False
34,Chase Nenad,False,football,Men,2024.0,"Mission Viejo, Calif.",False,False
35,Miles Oldacre,True,football,Men,2023.0,"Spring, Texas",False,False
36,Seun Omonije,False,football,Men,2022.0,"The Colony, Texas",False,False
37,Wande Owens,False,football,Men,2023.0,"Cooksville, Md.",False,False
38,Tre Peterson,False,football,Men,2024.0,"Columbus, Ga.",False,False
39,Noah Pope,False,football,Men,2022.0,"Memphis, Tenn.",False,False
40,Nathan Puletasi,False,football,Men,2024.0,"Spokane, Wash.",False,False
41,Jaylan Sandifer,False,football,Men,2022.0,"Warner Robins, Ga.",False,False
42,Cubby Schuller,False,football,Men,2022.0,"Bedminster, N.J.",False,False
43,Dean Shaffer,False,football,Men,2024.0,"Smithtown, N.Y.",False,False
44,Gabriel Sleenhof,False,football,Men,2024.0,"Brentwood, Tenn.",False,False
45,Conor Smith,False,football,Men,2022.0,"Little Silver, N.J.",False,False
46,Devyn Suggs,False,football,Men,2024.0,"Bolingbrook, Ill.",False,False
47,Nick Tibbetts,False,football,Men,2022.0,"Uncasville, Conn.",False,False
48,Mitchell Tyler,False,football,Men,2024.0,"McKinney, Texas",False,False
49,Joseph Vaughn,False,football,Men,2023.0,"San Jose, Calif.",False,False
