full_name,leave,year,hometown,outdated,dup_year_name
Jenna Clark,TRUE,2024,"Pittsburgh, Pa.",TRUE,FALSE
Camilla Emsbo,TRUE,2023,"Lakewood, Colo.",TRUE,FALSE
Mackenzie Hewitt,FALSE,2022,"Prosper, Texas",TRUE,FALSE
Robin Gallagher,FALSE,2022,"Cary, N.C.",TRUE,FALSE
Alex Cade,TRUE,2022,"Shaker Heights, Ohio",TRUE,FALSE
Tori Andrew,FALSE,2021,"St. Louis, Mo.",TRUE,FALSE
Ellen Margaret Andrews,FALSE,2021,"Dallas, Texas",TRUE,FALSE
Erin Hill,FALSE,2022,"Edgartown, Mass.",TRUE,FALSE
Roxanne Nesbitt,FALSE,2022,"Chicago, Ill.",TRUE,FALSE
Ayla Elam,TRUE,2024,"Woodside, Calif.",TRUE,FALSE
Klara Aastroem,TRUE,2024,"Menlo Park, CA",,
