full_name,leave,year,hometown,outdated,dup_year_name
Greta Skarzynski,TRUE,2022,"Lake Forest, Ill.",TRUE,FALSE
Tabea Botthof,TRUE,2023,"Erding, Germany",TRUE,FALSE
Tess Dettling,TRUE,2022,"Wilmette, Ill.",TRUE,FALSE
Lauren Moriyama,FALSE,2021,"Toronto, Ont.",TRUE,FALSE
Charlotte Welch,TRUE,2023,"Winchester, Mass.",TRUE,FALSE
Sofie Zander,FALSE,2023,"Bara, Sweden",TRUE,FALSE
Kaitlyn Rippon,TRUE,2023,"Pittsford, N.Y.",TRUE,FALSE
Maya Kerfoot,FALSE,2022,"Mississauga, Ont.",TRUE,FALSE
Emma Seitz,TRUE,2023,"New York, N.Y.",TRUE,FALSE
Claire Dalton,TRUE,2023,"Toronto, Ont.",TRUE,FALSE
Grace Lee,TRUE,2024,"Boulder, Colo.",TRUE,FALSE
Gianna Meloni,TRUE,2022,"Washington, D.C.",TRUE,FALSE
Elle Hartje,TRUE,2024,"Bloomfield Hills, MI",TRUE,FALSE
Lucy Burton,FALSE,2021,"Wayzata, MN",,
Kiersten Goode,TRUE,2024,"La Habra, CA",,
Rebecca Foggia,TRUE,2022,"Rumson, NJ",,
Rebecca Vanstone,TRUE,2023,Canada,,
Coutney Denaut,FALSE,2023,"Greenwich, CT",,
